city,cloudiness,country,date,humidity,lat,lng,max_Temp,wind_Speed
meulaboh,78,ID,09-01-2019,80,4.14,96.13,27.45,2.96
anadyr,40,RU,09-01-2019,87,64.73,177.51,7.78,4.0
sosva,100,RU,09-01-2019,98,59.17,61.86,7.65,3.52
sivas,0,TR,09-01-2019,77,39.75,37.01,15.0,7.2
ola,20,RU,09-01-2019,95,59.58,151.3,9.35,2.03
brae,92,GB,09-01-2019,76,60.4,-1.35,10.0,4.6
colares,20,PT,09-01-2019,68,38.8,-9.45,23.33,9.8
cayenne,0,GF,09-01-2019,70,4.94,-52.33,31.0,6.7
paragominas,10,BR,09-01-2019,31,-3.0,-47.35,36.15,2.33
khatanga,74,RU,09-01-2019,89,71.98,102.47,2.65,3.28
grand-santi,45,GF,09-01-2019,29,4.27,-54.38,36.35,1.29
shubarkuduk,92,KZ,09-01-2019,50,49.15,56.49,11.75,3.0
ankpa,100,NG,09-01-2019,95,7.37,7.63,22.35,3.89
conde,42,BR,09-01-2019,54,-11.81,-37.61,27.75,3.71
castro,40,CL,09-01-2019,57,-42.48,-73.76,10.0,5.7
bosaso,87,SO,09-01-2019,69,11.28,49.18,31.05,5.46
los llanos de aridane,75,ES,09-01-2019,69,28.66,-17.92,24.0,5.7
linxia,19,CN,09-01-2019,73,35.6,103.21,10.65,1.41
emborion,50,GR,09-01-2019,38,40.48,21.55,23.0,2.1
hambantota,90,LK,09-01-2019,100,6.12,81.12,24.0,2.6
chernyshevskiy,13,RU,09-01-2019,85,63.01,112.47,9.55,0.38
ostrovnoy,77,RU,09-01-2019,82,68.05,39.51,14.45,3.37
smoky lake,5,CA,09-01-2019,90,54.11,-112.47,14.44,3.58
samarai,93,PG,09-01-2019,86,-10.62,150.67,21.15,2.86
sorong,81,ID,09-01-2019,88,-0.86,131.25,23.25,3.66
kingston,20,JM,09-01-2019,55,17.97,-76.79,32.0,9.3
cidreira,36,BR,09-01-2019,50,-30.17,-50.22,17.35,3.37
margate,20,AU,09-01-2019,81,-43.03,147.26,8.0,3.6
songea,5,TZ,09-01-2019,60,-10.68,35.65,21.0,3.6
moree,0,AU,09-01-2019,52,-29.46,149.84,8.0,1.65
anloga,40,GH,09-01-2019,88,5.79,0.9,25.0,5.7
ugoofaaru,100,MV,09-01-2019,75,5.67,73.0,28.25,3.53
miraflores,0,PE,09-01-2019,10,-16.39,-71.52,22.0,4.1
leh,10,IN,09-01-2019,43,34.16,77.58,10.05,1.09
sapa,75,PH,09-01-2019,88,14.32,120.76,26.11,1.0
chuy,0,UY,09-01-2019,50,-33.69,-53.46,14.85,5.34
palmer,0,AU,09-01-2019,87,-34.85,139.16,11.11,2.6
avarua,77,CK,09-01-2019,82,-21.21,-159.78,18.0,3.6
almaznyy,0,RU,09-01-2019,36,48.03,40.04,24.0,6.0
bonavista,19,CA,09-01-2019,71,48.65,-53.11,17.78,1.34
sulangan,92,PH,09-01-2019,78,11.14,123.72,26.65,5.19
la rinconada,12,PE,09-01-2019,81,-14.63,-69.45,5.75,4.85
shenjiamen,92,CN,09-01-2019,86,29.96,122.3,25.75,2.08
ayan,48,IR,09-01-2019,59,38.23,44.7,15.15,1.94
enderby,1,CA,09-01-2019,44,50.55,-119.14,25.0,0.3
san cristobal,15,HN,09-01-2019,37,14.68,-86.92,33.85,0.24
banjar,100,ID,09-01-2019,90,-7.37,108.54,21.65,0.52
karratha,5,AU,09-01-2019,39,-20.74,116.85,22.25,8.79
avera,90,US,09-01-2019,70,33.19,-82.53,32.0,4.1
pacifica,20,US,09-01-2019,56,37.61,-122.49,27.78,6.7
yarmouth,75,CA,09-01-2019,56,43.84,-66.12,23.89,3.6
kahta,0,TR,09-01-2019,32,37.78,38.62,28.0,2.6
fukue,75,JP,09-01-2019,88,35.03,136.69,23.89,2.1
tevriz,100,RU,09-01-2019,96,57.51,72.4,7.85,3.06
ahmadpur,100,IN,09-01-2019,85,18.7,76.94,24.05,6.18
srednekolymsk,13,RU,09-01-2019,66,67.46,153.71,1.95,2.43
roald,75,NO,09-01-2019,87,62.58,6.12,12.0,7.7
ashtian,0,IR,09-01-2019,33,34.52,50.0,17.25,1.15
ruston,1,US,09-01-2019,41,32.52,-92.64,34.0,2.1
troitskoye,41,RU,09-01-2019,73,52.98,84.68,9.85,1.38
tulun,3,RU,09-01-2019,91,54.56,100.58,12.25,0.52
zhezkazgan,99,KZ,09-01-2019,49,47.8,67.71,14.05,4.27
zorritos,90,PE,09-01-2019,33,-3.68,-80.68,32.0,4.6
geraldton,90,CA,09-01-2019,100,49.72,-86.95,14.0,2.1
ormara,28,PK,09-01-2019,66,25.21,64.64,29.15,4.31
bandarbeyla,47,SO,09-01-2019,80,9.49,50.81,24.15,11.3
coruripe,52,BR,09-01-2019,71,-10.12,-36.18,26.35,5.29
ozark,40,US,09-01-2019,66,37.02,-93.21,29.44,2.1
gizo,20,IL,09-01-2019,74,31.8,34.94,29.0,2.6
nioro,89,GM,09-01-2019,90,13.79,-15.05,25.05,7.5
mnogovershinnyy,100,RU,09-01-2019,98,53.94,139.92,8.95,3.63
tual,0,ID,09-01-2019,81,-5.67,132.75,24.55,8.47
egvekinot,98,RU,09-01-2019,90,66.32,-179.17,4.65,6.3
wamba,2,CD,09-01-2019,96,2.14,27.99,20.45,0.92
nemuro,0,JP,09-01-2019,82,43.32,145.57,17.95,2.31
coquimbo,20,CL,09-01-2019,71,-29.95,-71.34,14.0,6.7
granard,41,IE,09-01-2019,95,53.78,-7.49,12.05,2.39
kuito,2,AO,09-01-2019,27,-12.38,16.94,19.65,0.96
port blair,81,IN,09-01-2019,81,11.67,92.75,27.65,10.3
polis,0,CY,09-01-2019,78,35.04,32.42,25.0,2.6
sibolga,10,ID,09-01-2019,83,1.74,98.78,27.45,5.44
millinocket,0,US,09-01-2019,48,45.66,-68.71,22.22,3.1
mastic beach,1,US,09-01-2019,56,40.77,-72.85,25.0,5.1
ortakoy,0,TR,09-01-2019,31,38.74,34.04,23.89,3.6
boca do acre,5,BR,09-01-2019,20,-8.76,-67.39,40.85,1.28
jasidih,67,IN,09-01-2019,70,24.51,86.65,29.35,2.37
yumen,98,CN,09-01-2019,19,40.29,97.04,23.85,9.9
turukhansk,100,RU,09-01-2019,82,65.8,87.96,11.65,2.79
lebedinyy,5,RU,09-01-2019,76,58.52,125.52,6.75,2.73
gigmoto,99,PH,09-01-2019,79,13.78,124.39,27.45,2.31
orahovac,0,XK,09-01-2019,30,42.4,20.65,23.33,2.1
vrangel,0,RU,09-01-2019,96,42.73,133.08,13.55,0.41
tiarei,75,PF,09-01-2019,88,-17.53,-149.33,23.89,1.5
ettaiyapuram,100,IN,09-01-2019,68,9.15,78.0,26.45,5.65
bukama,33,CD,09-01-2019,37,-9.2,25.85,26.65,1.92
medea,20,DZ,09-01-2019,74,36.27,2.77,26.0,2.1
godda,96,IN,09-01-2019,61,24.83,87.21,30.95,1.31
coihaique,40,CL,09-01-2019,45,-45.58,-72.07,9.0,4.1
padang,5,ID,09-01-2019,81,-0.92,100.36,27.45,6.62
loukhi,68,RU,09-01-2019,88,66.08,33.04,14.15,2.19
gopalpur,97,BD,09-01-2019,75,24.18,89.13,29.65,2.85
noumea,100,NC,09-01-2019,94,-22.28,166.46,23.89,0.5
lancaster,75,US,09-01-2019,50,40.04,-76.31,27.22,3.1
kalabo,0,ZM,09-01-2019,18,-15.0,22.67,23.75,2.06
virginia beach,40,US,09-01-2019,74,36.85,-75.98,30.0,4.6
qaqortoq,100,GL,09-01-2019,66,60.72,-46.03,10.0,2.6
plettenberg bay,26,ZA,09-01-2019,84,-34.05,23.37,14.55,3.28
namatanai,100,PG,09-01-2019,84,-3.66,152.44,25.85,6.65
riyadh,0,SA,09-01-2019,14,24.63,46.72,37.0,3.1
aklavik,75,CA,09-01-2019,65,68.22,-135.01,8.0,1.5
saravan,20,AM,09-01-2019,52,39.72,45.65,22.0,0.22
athabasca,0,CA,09-01-2019,60,54.72,-113.29,16.15,3.42
nishihara,75,JP,09-01-2019,94,35.74,139.53,26.11,1.0
roma,0,IT,09-01-2019,78,41.89,12.48,27.0,2.6
paola,37,IT,09-01-2019,90,39.36,16.04,22.22,0.45
forbes,0,AU,09-01-2019,65,-33.38,148.01,8.33,2.38
ahipara,100,NZ,09-01-2019,100,-35.17,173.16,9.44,4.83
longyearbyen,75,NO,09-01-2019,93,78.22,15.63,6.0,1.0
puerto del rosario,20,ES,09-01-2019,73,28.5,-13.86,24.0,5.7
takestan,0,IR,09-01-2019,81,36.07,49.69,13.35,3.46
port keats,72,AU,09-01-2019,75,-14.25,129.55,18.85,2.0
valledupar,40,CO,09-01-2019,50,10.46,-73.25,35.0,5.1
kirove,69,UA,09-01-2019,34,47.83,38.01,24.05,2.79
aquiraz,20,BR,09-01-2019,69,-3.9,-38.39,30.0,5.1
dukuhturi,99,ID,09-01-2019,85,-7.24,109.01,21.75,1.49
constitucion,75,MX,09-01-2019,43,23.99,-104.67,22.78,2.1
ambilobe,52,MG,09-01-2019,71,-13.19,49.05,23.05,3.83
vardo,90,US,09-01-2019,64,39.62,-77.74,26.67,2.1
faanui,90,PF,09-01-2019,80,-16.48,-151.75,23.85,6.67
morant bay,20,JM,09-01-2019,55,17.88,-76.41,32.0,9.3
baghdad,0,IQ,09-01-2019,24,33.3,44.38,33.0,2.6
pucallpa,0,PE,09-01-2019,27,-8.38,-74.54,39.65,0.26
fenoarivo,20,MG,09-01-2019,87,-18.93,47.44,15.0,2.1
papagaios,63,BR,09-01-2019,20,-19.45,-44.75,34.95,1.54
